Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Gustav Forsling,D,122,92.83,152.9,6.46,8.63,-2.170000000000001,10.0,22.0,-12.0,1,21.0,8.24,-11.0,-1.78,5,14.3,25.7,40.0
Maxime Lajoie,D,62,92.85,103.6,6.46,8.11,-1.6499999999999995,10.0,14.0,-4.0,0,14.0,8.11,-4.0,-1.65,8,31.0,34.8,65.8
Logan Shaw,R,215,65.03,231.37,6.46,5.96,0.5,7.0,23.0,-16.0,3,20.0,5.19,-13.0,1.27,2,6.0,20.0,26.0
Artem Anisimov,C,473,957.35,636.78,6.46,8.2,-1.7399999999999993,103.0,87.0,16.0,11,76.0,7.16,27.0,-0.7,50,39.7,27.4,67.1
Tomas Plekanec,C,403,643.4,839.42,6.43,7.0,-0.5700000000000003,69.0,98.0,-29.0,9,89.0,6.36,-20.0,0.07,46,31.1,39.5,70.6
Andrej Sekera,D,425,747.75,814.65,6.42,6.92,-0.5,80.0,94.0,-14.0,5,89.0,6.55,-9.0,-0.13,49,36.0,39.6,75.6
William Karlsson,C,410,599.1,687.3,6.41,6.46,-0.04999999999999982,64.0,74.0,-10.0,15,59.0,5.15,5.0,1.26,40,30.8,33.3,64.1
Olli Maatta,D,427,346.45,742.43,6.41,6.06,0.35000000000000053,37.0,75.0,-38.0,4,71.0,5.74,-34.0,0.67,21,15.7,34.7,50.4
Dan Girardi,D,439,263.07,1130.3,6.39,6.69,-0.3000000000000007,28.0,126.0,-98.0,8,118.0,6.26,-90.0,0.13,7,12.0,51.6,63.6
Boyd Gordon,C,220,75.17,572.13,6.39,7.97,-1.58,8.0,76.0,-68.0,5,71.0,7.45,-63.0,-1.06,5,6.2,47.5,53.7
Barclay Goodrow,C,276,75.23,370.42,6.38,5.99,0.3899999999999997,8.0,37.0,-29.0,5,32.0,5.18,-24.0,1.2,2,5.8,28.3,34.1
Johnny Boychuk,D,479,489.97,1061.85,6.37,7.29,-0.9199999999999999,52.0,129.0,-77.0,7,122.0,6.89,-70.0,-0.52,30,21.4,47.8,69.2
Calle Jarnkrok,C,459,386.85,809.75,6.36,6.22,0.14000000000000057,41.0,84.0,-43.0,10,74.0,5.48,-33.0,0.88,24,16.0,35.0,51.0
Jonas Brodin,D,510,396.92,1074.07,6.35,6.48,-0.13000000000000078,42.0,116.0,-74.0,4,112.0,6.26,-70.0,0.09,21,15.3,43.6,58.9
Andrew Shaw,R,445,1021.88,93.32,6.34,9.64,-3.3000000000000007,108.0,15.0,93.0,0,15.0,9.64,93.0,-3.3,45,46.1,4.4,50.5
Joel Armia,R,295,407.3,393.63,6.33,7.32,-0.9900000000000002,43.0,48.0,-5.0,13,35.0,5.33,8.0,1.0,16,27.8,25.3,53.1
Adam Lowry,C,408,255.75,766.53,6.33,6.73,-0.40000000000000036,27.0,86.0,-59.0,7,79.0,6.18,-52.0,0.15,14,11.7,34.6,46.3
Jacob Trouba,D,478,834.17,1323.93,6.33,7.52,-1.1899999999999995,88.0,166.0,-78.0,10,156.0,7.07,-68.0,-0.74,46,33.1,49.6,82.7
Damon Severson,D,430,874.12,420.98,6.31,7.41,-1.1000000000000005,92.0,52.0,40.0,1,51.0,7.27,41.0,-0.96,51,39.5,18.1,57.6
Milan Michalek,L,198,447.58,308.38,6.3,6.42,-0.1200000000000001,47.0,33.0,14.0,1,32.0,6.23,15.0,0.07,24,41.1,26.9,68.0
Brady Skjei,D,314,238.12,510.77,6.3,6.58,-0.28000000000000025,25.0,56.0,-31.0,4,52.0,6.11,-27.0,0.19,13,15.5,31.2,46.7
Matt Beleskey,L,268,352.58,78.15,6.3,4.61,1.6899999999999995,37.0,6.0,31.0,1,5.0,3.84,32.0,2.46,17,25.7,5.2,30.9
Dennis Wideman,D,234,601.27,372.43,6.29,6.61,-0.3200000000000003,63.0,41.0,22.0,1,40.0,6.44,23.0,-0.15,38,47.1,35.0,82.1
Josh Bailey,R,536,1155.17,244.67,6.28,6.87,-0.5899999999999999,121.0,28.0,93.0,2,26.0,6.38,95.0,-0.1,85,44.1,9.9,54.0
Vernon Fiddler,C,297,86.05,604.97,6.28,7.64,-1.3599999999999994,9.0,77.0,-68.0,9,68.0,6.74,-59.0,-0.46,6,5.2,40.3,45.5
Jamie McBain,D,142,278.07,75.15,6.26,7.98,-1.7200000000000006,29.0,10.0,19.0,1,9.0,7.19,20.0,-0.93,14,38.9,9.6,48.5
